deu_2005,xfra_2005,xbnl_2005
0.609527,0.229548,0.48797700000000005
0.543043,0.247652,0.519068
0.497964,0.276013,0.603892
0.47318999999999994,0.30540300000000004,0.691843
0.456147,0.322402,0.774115
0.42410699999999996,0.31653600000000004,0.837501
0.4249,0.319589,0.883229
0.45569899999999997,0.332002,0.907889
0.476275,0.3424,0.9174540000000001
0.47756000000000004,0.349999,0.9290200000000001
0.46988,0.357128,0.9461579999999999
0.48708500000000005,0.377322,0.964147
0.52776,0.397504,0.979772
0.576546,0.407225,0.9884799999999999
0.627066,0.411076,0.992035
0.671959,0.413329,0.9928549999999999
0.710489,0.414976,0.9924290000000001
0.738769,0.414883,0.9918629999999999
0.75761,0.408168,0.988806
0.7691939999999999,0.393243,0.981031
0.7746810000000001,0.366492,0.965935
0.777646,0.333427,0.940105
0.7770600000000001,0.29962300000000003,0.901407
0.763951,0.26250100000000004,0.843872
0.738272,0.23228600000000002,0.780062
0.710534,0.21294899999999997,0.739169
0.6792199999999999,0.199762,0.729521
0.6469689999999999,0.189164,0.746581
0.6032649999999999,0.17285699999999998,0.769352
0.569385,0.149921,0.78441
0.560684,0.139068,0.805692
0.568846,0.150172,0.8441860000000001
0.563671,0.167857,0.8711129999999999
0.552222,0.169003,0.86436
0.544326,0.152892,0.84145
0.563267,0.1373,0.847045
0.593747,0.13375399999999998,0.861502
0.619297,0.130592,0.873291
0.639836,0.128733,0.885242
0.6544300000000001,0.128085,0.897415
0.6678689999999999,0.1282,0.909266
0.665602,0.132915,0.91848
0.658747,0.141388,0.929509
0.655246,0.14709,0.9346
0.660173,0.149587,0.934599
0.6749229999999999,0.150726,0.930782
0.695174,0.152119,0.924849
0.7165229999999999,0.15079,0.914285
0.735985,0.147287,0.895008
0.750023,0.141593,0.871951
0.759717,0.137235,0.851409
0.759209,0.133253,0.828155
0.748437,0.11939200000000001,0.788093
0.740032,0.101274,0.730747
0.764737,0.0943557,0.701059
0.793313,0.0985614,0.745138
0.7941060000000001,0.09555889999999999,0.7466
0.772281,0.0870579,0.682656
0.7443810000000001,0.0777225,0.595387
0.73933,0.07366210000000001,0.5293329999999999
0.739032,0.0833445,0.5048779999999999
0.733634,0.0930505,0.48840100000000003
0.725511,0.0993222,0.46801499999999996
0.709175,0.104277,0.445065
0.685211,0.106544,0.414973
0.662479,0.103566,0.377241
0.635047,0.09665449999999999,0.340855
0.5947859999999999,0.09040010000000001,0.299131
0.547157,0.0857627,0.24790900000000002
0.49893999999999994,0.08346139999999999,0.19413
0.46240299999999995,0.0833345,0.146098
0.432359,0.0856252,0.11104800000000001
