deu_2012,xbnl_2012,xfra_2012
65432800,26653600,64326100
61002300,25310400,61132000
57753100,24119200,58859200
57025000,23535200,62246800
53374300,22726100,61555400
49755800,21245300,57543100
46876900,19932300,56804500
45553000,18940400,54235000
45174600,18454900,51178400
45004400,18404800,49721800
44703100,18353100,49959500
43165300,18689700,51137200
44934200,19248200,52645800
47982200,20385500,54387300
52274700,21920400,57000900
55825300,23222100,58813100
59830300,24084200,60239200
59350700,24570200,61404100
57853100,23915600,57719900
56387800,23361900,55529600
55963400,23112700,54318500
56872000,23422800,54307700
61710800,25670100,59300200
64080200,26690800,63796700
63010500,26339300,63639600
60251300,25528300,61083900
58202800,24287400,58478100
58836500,23555800,61232200
54285200,22256700,60212700
50403400,20710900,56527500
48394000,19752300,56275100
48272100,19236300,54331300
49055400,18933500,52386500
51121100,19168900,52939500
55962200,20266300,57203200
66145900,23092200,65018600
75375000,27175000,70853800
77722600,29224800,70869500
78161900,29731000,71028700
79292600,29725700,70658400
80234600,29967200,71144600
79749200,29427100,70646600
79430600,29555900,69357000
78175700,29523500,67960300
77173900,29344500,67057600
76677000,29478400,67463300
80276000,30960800,71591500
80833800,31095100,75583100
78572500,30179200,72601200
73838400,28634100,68088900
70172700,26908800,64168000
67538800,25850800,66502700
62279000,24675700,65066700
58453500,22738000,61009300
56383200,21368200,60401300
55184700,20670500,58352400
55647100,20373100,56453800
56838700,20364900,56729800
60013200,21243100,60487700
68578600,24074700,68248100
76470000,27949500,73883900
78436800,29757100,73512600
78091800,30298000,73163000
79041800,30218400,72553000
80114900,30409000,72950800
79626100,29933500,72350700
79308700,30000800,71457900
78340200,29736200,70143700
77960600,29764400,69145800
77109500,29923600,69547500
80698100,31468000,73705200
81506700,31333000,77554400
79789400,30181100,74267000
75339400,28593600,69734100
71557600,26974000,65440000
68576300,25850900,67411200
63648900,24540800,65697300
60060300,22517700,61404100
57719700,21252500,60427800
56299200,20484800,58230600
56445300,20065400,56261300
57835900,20175500,56428300
60981600,20980800,59947500
69533200,23691700,66799300
77081900,27719800,72013800
78726700,29721000,72869300
78600100,30300500,72966500
79683600,30504900,72543200
80042500,30736900,72821200
79763000,30291600,71968600
79068300,30276800,70938300
77628200,30035800,69475800
76467700,29782700,68171400
76062800,29722100,67755000
80098800,31064900,71638600
