dnk_2012,deu_2012,fin_2012,pol_2012,xalp_2012,xbnl_2012,xbal_2012,nor_2012,swe_2012,xfra_2012,xhur_2012,xczs_2012,xgbr_2012,xgma_2012,xibe_2012,xita_2012,xskb_2012,xfwy_2012,hoy
4157580,60005100,11157200,16687800,16405200,24770100,3167920,17051100,19304100,61969800,10037600,11015400,44368100,7757620,34938200,31686800,9572530,5532870,159
4200810,59734800,11731300,16783900,16557000,24529100,3392080,17115000,19851500,60226400,10248400,11068200,43987200,8101040,34294100,31836600,9580660,5521170,160
4575760,61763700,11999400,18013200,16978500,25045700,3460040,17360300,20489900,60584000,11101200,11388100,44521800,8404960,34730400,33013700,10067300,5867340,161
5055240,65520200,12003400,18120800,17416200,27086500,3407050,17586200,20761100,65760200,11371600,11394700,49364000,8865440,37809200,38122000,10759500,6357900,162
4929590,65455800,11861300,17898800,17085200,27249200,3322930,17530600,20405800,67816900,11236600,11223000,53327800,8795090,40113900,39701900,10883200,6371000,163
4511420,63306100,11489300,17755600,16392100,26422300,3208170,17095600,19862500,66220800,11117500,10960000,52017200,8423650,41136600,39812200,10711500,6322150,164
4171660,59174700,11200200,17232800,15386800,25113600,3067140,16522600,19125000,63136700,10762800,10715900,49049700,7978790,41318500,37712000,10456100,6164740,165
3907280,56547700,11577300,16295700,15015600,23766700,2847770,16047700,18433500,60820700,10130200,10142500,45747500,7436820,39611900,35078500,10161300,5923040,166
3629840,56440700,11285200,15425900,15327800,23384300,2617240,15618200,17886100,63965700,9506540,9737620,42457400,7288780,37221100,32405400,10033100,5607660,167
3449910,52596800,10758100,14330200,14736400,22578500,2441580,15164700,17250700,63010000,9043100,9311710,39503200,6837040,34638700,29933800,9768200,5124130,168
3239820,48300800,10375100,13165300,14488300,20840000,2274820,14950900,16610300,58754100,8582290,8959290,37045500,6319510,31703000,27733400,9362640,4665630,169
3061900,45147000,10144000,12511800,13821300,19591400,2216560,14614900,16247000,57709100,8318630,8692080,36557100,6180260,29139100,25450100,8796290,4344660,170
2956350,44021000,10008000,12179200,13433100,18598500,2180070,14449200,15994800,55011000,8074870,8688690,34752300,5887900,27606300,24147400,8228430,4167770,171
2917140,43457400,10001000,11992800,13306700,18000200,2182010,14346400,15909800,52065400,7962970,8634470,33067100,5636530,27077600,23473400,7985860,4107800,172
2912120,44090000,10051000,11912000,13097500,17791000,2235090,14351100,15922800,50703000,7976190,8637570,31568200,5531600,26988300,23200100,7828840,4061340,173
