,deu_2012,xbnl_2012,xfra_2012
7638,68271500.0,22571500.0,64922300.0
7639,75802900.0,25955600.0,68890400.0
7640,78264300.0,27328500.0,70118200.0
7641,77703000.0,28233000.0,70571900.0
7642,78986600.0,28254700.0,70303800.0
7643,79973500.0,28200300.0,70542500.0
7644,79076300.0,27698200.0,69816600.0
7645,78716300.0,27711500.0,67812000.0
7646,78255100.0,27453500.0,65742500.0
7647,77807700.0,27488100.0,64413600.0
7648,78593200.0,27743400.0,64741600.0
7649,82645300.0,29909100.0,70667200.0
7650,82314100.0,29576700.0,74164800.0
7651,80019500.0,28527800.0,70504200.0
7652,75368100.0,27165100.0,65914400.0
7653,70829500.0,25665900.0,62275300.0
7654,66623300.0,24552300.0,64704300.0
7655,60917200.0,23276600.0,63340000.0
7656,56395800.0,21467000.0,58782600.0
7657,54204700.0,20299700.0,57741500.0
7658,53538800.0,19595700.0,55559000.0
7659,54033400.0,19333700.0,53555400.0
7660,55675800.0,19551300.0,53736100.0
7661,59304700.0,20473400.0,57729700.0
7662,68927100.0,23175500.0,65706100.0
7663,77079600.0,26782700.0,69662400.0
7664,79646800.0,28235100.0,69986600.0
7665,80044800.0,29161200.0,70223300.0
7666,80786600.0,29449500.0,69953200.0
7667,81626300.0,29677500.0,70017000.0
7668,81555000.0,29194400.0,69329500.0
7669,81174300.0,29157100.0,67621400.0
7670,80333500.0,29041200.0,65862300.0
7671,80016000.0,28924000.0,64553000.0
7672,80619900.0,29477300.0,64744600.0
7673,83537900.0,31258600.0,70633800.0
7674,82641900.0,30656800.0,73396700.0
7675,80555500.0,29502600.0,70073000.0
7676,75809800.0,27948200.0,65415400.0
7677,71549500.0,26223900.0,61769500.0
7678,67713600.0,25072400.0,64253500.0
7679,61708500.0,23869600.0,62628900.0
7680,56015100.0,22083400.0,57999800.0
7681,53748100.0,20738900.0,57277900.0
7682,52954500.0,19990100.0,54975600.0
7683,53564100.0,19681200.0,53308800.0
7684,54981100.0,19941900.0,53634900.0
7685,58493800.0,20854800.0,57539100.0
7686,67655000.0,23426800.0,65140400.0
7687,76336600.0,27054800.0,69287200.0
7688,79644500.0,28668200.0,69801900.0
7689,80248400.0,29508700.0,70057300.0
7690,81949500.0,29722700.0,69820600.0
7691,82288800.0,30044300.0,69763600.0
7692,80956900.0,29487900.0,68989600.0
7693,79503000.0,29059400.0,66783600.0
7694,77611000.0,28609400.0,64755400.0
7695,77096800.0,28374400.0,63287000.0
7696,78819800.0,28617500.0,63601300.0
7697,81736700.0,30495000.0,69198800.0
7698,80309300.0,29865900.0,71441200.0
7699,77621300.0,28589400.0,67944600.0
7700,73035600.0,27029400.0,63722100.0
7701,68886800.0,25417000.0,60377700.0
7702,65944700.0,24614000.0,63190700.0
7703,60388100.0,23869500.0,61758700.0
7704,55521700.0,22019900.0,56608000.0
7705,53007400.0,20566400.0,55148500.0
7706,51812400.0,19623300.0,52380600.0
7707,51448900.0,19128100.0,49876000.0
7708,51239600.0,18916900.0,49383000.0
7709,50842700.0,19047000.0,50523300.0
7710,51555900.0,19898600.0,52804000.0
7711,55151300.0,21303900.0,54671100.0
7712,59331100.0,22763200.0,57226800.0
7713,62876000.0,24444000.0,59438700.0
7714,64826700.0,25191100.0,59441700.0
7715,65853800.0,25698600.0,60298100.0
7716,64760000.0,25548200.0,61639800.0
7717,62656300.0,25244200.0,58492900.0
7718,61274900.0,24870500.0,56444000.0
7719,61159900.0,24776800.0,54778200.0
7720,63340600.0,25521500.0,55364600.0
7721,67880400.0,27119600.0,60108600.0
7722,67436500.0,26679600.0,62357800.0
7723,64325200.0,25701900.0,60058500.0
7724,59721000.0,24460600.0,56626700.0
